url,price,rooms,area,location
https://www.otodom.pl/pl/oferta/centrum-atal-sokolska-towers-z-wyposazeniem-ID4n7XO,460000.0,1.0,32.0,Koszutka
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-loggia-ID4mEca,459930.0,1.0,38.13, Koszutka
https://www.otodom.pl/pl/oferta/okazyjna-kawalerka-w-wyremontowanej-kamienicy-ID4n0ex,149900.0,1.0,31.73, Szopienice-Burowiec
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-loggia-ID4g38i,394572.0,2.0,40.86, Koszutka
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-100m2-loggia-bezposrednio-ID4g34s,777897.0,4.0,100.05, Koszutka
https://www.otodom.pl/pl/oferta/srodmiescie-po-remoncie-centrum-od-wlasciciela-ID44zGZ,679000.0,3.0,100.0,Koszutka
https://www.otodom.pl/pl/oferta/katowice-curie-sklodowskiej-duze-mieszkanie-ID4jgfX,739000.0,4.0,135.0, Śródmieście
https://www.otodom.pl/pl/oferta/apartament-81m2-2-balkony-komorka-podlogowka-ID4mWqS,1099000.0,4.0,81.0,Osiedle Paderewskiego-Muchowiec
https://www.otodom.pl/pl/oferta/komfortowy-apartament-w-centrum-katowic-ID4mc9C,825000.0,4.0,78.0, Śródmieście
https://www.otodom.pl/pl/oferta/apartamenty-zlota-nowe-mieszkanie-b17-ID4koyq,759413.0,4.0,78.29, Dąb
https://www.otodom.pl/pl/oferta/nowe-2-pok-balkon-50-88m-prestizowe-centrum-ID4n8bq,735216.0,2.0,50.88,Śródmieście
https://www.otodom.pl/pl/oferta/apartament-recepcja-klimatyzacja-2-lazienki-ID4n37E,790500.0,3.0,93.12, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/panorama-3-stawy-mieszkanie-3-pok-4-b36-ID4lByB,890624.0,3.0,68.86, Osiedle Paderewskiego-Muchowiec
